,Linear,Dropout,GELUActivation,LayerNorm,Conv1d,WhisperSdpaAttention,SiLU,_WeightNorm,ParametrizationList,WhisperEncoderLayer
0,84,62,44,38,9,72,72,7,7,24
1,84,38,28,8,9,36,64,7,7,12
2,72,62,39,25,9,96,0,7,7,32
3,84,25,12,25,3,0,0,7,7,0
4,30,8,6,25,9,0,0,6,6,0
5,84,62,39,8,9,0,0,7,7,0
6,73,173,16,8,9,0,0,11,11,0
7,384,20,22,11,15,0,0,7,7,0
8,84,11,5,25,9,0,0,7,7,0
9,14,49,52,25,9,0,0,7,7,0
10,192,74,39,8,9,0,0,7,7,0
11,36,62,39,122,2,0,0,7,7,0
12,84,25,12,45,9,0,0,7,7,0
13,512,74,40,5,9,0,0,7,7,0
14,158,62,48,62,2,0,0,7,7,0
15,128,12,40,13,9,0,0,7,7,0
16,0,13,19,25,9,0,0,6,6,0
17,0,62,24,8,9,0,0,7,7,0
18,0,74,6,8,2,0,0,0,0,0
19,0,74,39,162,9,0,0,0,0,0
20,0,146,40,8,9,0,0,0,0,0
21,0,163,40,107,9,0,0,0,0,0
22,0,146,64,8,32,0,0,0,0,0
23,0,0,64,0,0,0,0,0,0,0
24,0,0,89,0,0,0,0,0,0,0
25,0,0,64,0,0,0,0,0,0,0
26,0,0,0,0,0,0,0,0,0,0
