Task,Nesting Level,Count
feature-extraction,1,505
feature-extraction,0,157
feature-extraction,2,1204
feature-extraction,5,4290
feature-extraction,4,3209
feature-extraction,3,2379
feature-extraction,6,1050
feature-extraction,7,72
image-text-to-text,0,27
image-text-to-text,1,40
image-text-to-text,2,59
image-text-to-text,3,252
image-text-to-text,4,817
image-text-to-text,5,1491
image-text-to-text,6,996
audio-classification,3,2539
audio-classification,2,419
audio-classification,0,39
audio-classification,1,134
audio-classification,4,3492
audio-classification,5,363
audio-classification,6,72
automatic-speech-recognition,0,22
automatic-speech-recognition,1,71
automatic-speech-recognition,2,253
automatic-speech-recognition,3,1693
automatic-speech-recognition,4,1946
automatic-speech-recognition,5,242
image-feature-extraction,0,17
image-feature-extraction,2,151
image-feature-extraction,3,442
image-feature-extraction,1,49
image-feature-extraction,5,130
image-feature-extraction,4,300
image-segmentation,0,79
image-segmentation,1,300
image-segmentation,2,638
image-segmentation,3,1039
image-segmentation,4,1526
image-segmentation,5,2027
image-segmentation,6,1370
image-segmentation,7,673
image-segmentation,8,675
image-segmentation,9,576
image-segmentation,10,216
fill-mask,2,554
fill-mask,1,318
fill-mask,6,5940
fill-mask,5,6916
fill-mask,4,3576
fill-mask,3,1351
fill-mask,0,177
fill-mask,7,72
