,Linear,Dropout,LayerNorm,GELUActivation,ViTSelfAttention,ViTSelfOutput,ViTAttention,ViTIntermediate,ViTOutput,ViTLayer
0,13,73,5,2,2,2,2,2,2,2
1,13,5,5,2,2,2,2,2,2,2
2,73,5,25,12,12,12,12,12,12,12
3,73,25,25,12,12,12,12,12,12,12
4,73,25,25,12,12,12,12,12,12,12
5,73,25,25,12,12,12,12,12,12,12
6,73,25,25,12,12,12,12,12,12,12
7,73,25,25,12,12,12,12,12,12,12
8,73,25,25,12,12,12,12,12,12,12
9,73,25,25,12,12,12,12,12,12,12
10,72,25,25,12,12,12,12,12,12,12
11,73,25,25,12,0,0,0,0,0,0
12,120,25,0,0,0,0,0,0,0,0
13,0,24,0,0,0,0,0,0,0,0
14,0,0,0,0,0,0,0,0,0,0
